Year,Series,Units,Value
1990,Forest area as a proportion of total land area,Percentage (%),40543.35524
1991,Forest area as a proportion of total land area,Percentage (%),40537.42018
1992,Forest area as a proportion of total land area,Percentage (%),40531.37522
1993,Forest area as a proportion of total land area,Percentage (%),40525.87979
1994,Forest area as a proportion of total land area,Percentage (%),40517.41684
1995,Forest area as a proportion of total land area,Percentage (%),40513.02051
1996,Forest area as a proportion of total land area,Percentage (%),40509.17371
1997,Forest area as a proportion of total land area,Percentage (%),40505.1071
1998,Forest area as a proportion of total land area,Percentage (%),40501.04049
1999,Forest area as a proportion of total land area,Percentage (%),40496.42433
2000,Forest area as a proportion of total land area,Percentage (%),40491.47845
2001,Forest area as a proportion of total land area,Percentage (%),40487.19202
2002,Forest area as a proportion of total land area,Percentage (%),40482.90559
2003,Forest area as a proportion of total land area,Percentage (%),40477.19036
2004,Forest area as a proportion of total land area,Percentage (%),40471.80484
2005,Forest area as a proportion of total land area,Percentage (%),40466.52924
2006,Forest area as a proportion of total land area,Percentage (%),40461.69327
2007,Forest area as a proportion of total land area,Percentage (%),40453.34022
2008,Forest area as a proportion of total land area,Percentage (%),40448.17453
2009,Forest area as a proportion of total land area,Percentage (%),40443.11874
2010,Forest area as a proportion of total land area,Percentage (%),40438.50258
2011,Forest area as a proportion of total land area,Percentage (%),40434.10625
2012,Forest area as a proportion of total land area,Percentage (%),40429.49009
2013,Forest area as a proportion of total land area,Percentage (%),40424.76403
2014,Forest area as a proportion of total land area,Percentage (%),40418.93888
2015,Forest area as a proportion of total land area,Percentage (%),40412.6741
2016,Forest area as a proportion of total land area,Percentage (%),40406.51923
2017,Forest area as a proportion of total land area,Percentage (%),40400.36436
2018,Forest area as a proportion of total land area,Percentage (%),40394.64912
2019,Forest area as a proportion of total land area,Percentage (%),40389.15369
2020,Forest area as a proportion of total land area,Percentage (%),40383.54836
2021,Forest area as a proportion of total land area,Percentage (%),40378.05294
2022,Forest area as a proportion of total land area,Percentage (%),40372.66743
1990,Forest area,Hectares (Millions),368883
1991,Forest area,Hectares (Millions),368829
1992,Forest area,Hectares (Millions),368774
1993,Forest area,Hectares (Millions),368724
1994,Forest area,Hectares (Millions),368647
1995,Forest area,Hectares (Millions),368607
1996,Forest area,Hectares (Millions),368572
1997,Forest area,Hectares (Millions),368535
1998,Forest area,Hectares (Millions),368498
1999,Forest area,Hectares (Millions),368456
2000,Forest area,Hectares (Millions),368411
2001,Forest area,Hectares (Millions),368372
2002,Forest area,Hectares (Millions),368333
2003,Forest area,Hectares (Millions),368281
2004,Forest area,Hectares (Millions),368232
2005,Forest area,Hectares (Millions),368184
2006,Forest area,Hectares (Millions),368140
2007,Forest area,Hectares (Millions),368064
2008,Forest area,Hectares (Millions),368017
2009,Forest area,Hectares (Millions),367971
2010,Forest area,Hectares (Millions),367929
2011,Forest area,Hectares (Millions),367889
2012,Forest area,Hectares (Millions),367847
2013,Forest area,Hectares (Millions),367804
2014,Forest area,Hectares (Millions),367751
2015,Forest area,Hectares (Millions),367694
2016,Forest area,Hectares (Millions),367638
2017,Forest area,Hectares (Millions),367582
2018,Forest area,Hectares (Millions),367530
2019,Forest area,Hectares (Millions),367480
2020,Forest area,Hectares (Millions),367429
2021,Forest area,Hectares (Millions),367379
2022,Forest area,Hectares (Millions),367330
1990,Land area,Hectares,909848230
1991,Land area,Hectares,909848230
1992,Land area,Hectares,909848230
1993,Land area,Hectares,909848230
1994,Land area,Hectares,909848230
1995,Land area,Hectares,909848230
1996,Land area,Hectares,909848230
1997,Land area,Hectares,909848230
1998,Land area,Hectares,909848230
1999,Land area,Hectares,909848230
2000,Land area,Hectares,909848230
2001,Land area,Hectares,909848230
2002,Land area,Hectares,909848230
2003,Land area,Hectares,909848230
2004,Land area,Hectares,909848230
2005,Land area,Hectares,909848230
2006,Land area,Hectares,909848230
2007,Land area,Hectares,909848230
2008,Land area,Hectares,909848230
2009,Land area,Hectares,909848230
2010,Land area,Hectares,909848230
2011,Land area,Hectares,909848230
2012,Land area,Hectares,909848230
2013,Land area,Hectares,909848230
2014,Land area,Hectares,909848230
2015,Land area,Hectares,909848230
2016,Land area,Hectares,909848230
2017,Land area,Hectares,909848230
2018,Land area,Hectares,909848230
2019,Land area,Hectares,909848230
2020,Land area,Hectares,909848230
2021,Land area,Hectares,909848230
2022,Land area,Hectares,909848230
