Value,Disaggregation combinations using this value,Number of indicators
"Abbotsford - Mission, British Columbia",1,1
Alberta,287,22
Atlantic provinces,24,2
Atlantic Region,1,1
Atlantic,80,1
"Barrie, Ontario",1,1
"Belleville, Ontario",1,1
"Brantford, Ontario",1,1
British Columbia,395,23
"Calgary, Alberta",25,3
Canada,636,19
"Edmonton, Alberta",25,3
"Greater Sudbury / Grand Sudbury, Ontario",1,1
"Guelph, Ontario",1,1
"Halifax, Nova Scotia",1,1
"Hamilton, Ontario",1,1
"Kelowna, British Columbia",1,1
"Kingston, Ontario",1,1
"Kitchener - Cambridge - Waterloo, Ontario",1,1
"Lethbridge, Alberta",1,1
"London, Ontario",1,1
Manitoba,263,22
"Moncton, New Brunswick",1,1
"Montréal, Quebec",25,3
"National Capital Region, Ontario",3,1
"National Capital Region, Ontario/Quebec",3,1
"National Capital Region, Quebec",3,1
New Brunswick,191,22
Newfoundland and Labrador,146,22
Northwest Territories,74,14
Nova Scotia,202,22
Nunavut,73,14
Ontario,497,23
"Oshawa, Ontario",1,1
"Ottawa - Gatineau (Ontario part), Ontario",1,1
"Ottawa-Gatineau, Ontario/Quebec",24,2
"Ottawa - Gatineau (Quebec part), Quebec",1,1
"Peterborough, Ontario",1,1
Prairie provinces,24,2
Prairie Region,1,1
Prairies,80,1
Prince Edward Island,135,21
Quebec,489,23
"Québec, Quebec",25,3
"Regina, Saskatchewan",1,1
"Saguenay, Quebec",1,1
"Saint John, New Brunswick",1,1
Saskatchewan,190,22
"Saskatoon, Saskatchewan",1,1
"Sherbrooke, Quebec",1,1
"St. Catharines - Niagara, Ontario",1,1
"St. John's, Newfoundland and Labrador",1,1
"Thunder Bay, Ontario",1,1
"Toronto, Ontario",25,3
"Total, large urban population centres",6,1
"Trois-Rivières, Quebec",1,1
"Vancouver, British Columbia",25,3
"Victoria, British Columbia",1,1
"Windsor, Ontario",1,1
"Winnipeg, Manitoba",25,3
"Yukon, Northwest Territories and Nunavut",6,2
Yukon,77,14
