Value,Disaggregation combinations using this value,Number of indicators
"Abbotsford - Mission, British Columbia",1,1
Alberta,964,26
Atlantic provinces,24,2
Atlantic Region,1,1
Atlantic,80,1
"Barrie, Ontario",1,1
"Belleville, Ontario",1,1
"Brantford, Ontario",1,1
British Columbia,1072,27
"Calgary, Alberta",25,3
Canada,1159,19
"Edmonton, Alberta",25,3
"Greater Sudbury / Grand Sudbury, Ontario",1,1
"Guelph, Ontario",1,1
"Halifax, Nova Scotia",1,1
"Hamilton, Ontario",1,1
"Kelowna, British Columbia",1,1
"Kingston, Ontario",1,1
"Kitchener - Cambridge - Waterloo, Ontario",1,1
"Lethbridge, Alberta",1,1
"London, Ontario",1,1
Manitoba,940,26
"Moncton, New Brunswick",1,1
"Montréal, Quebec",25,3
New Brunswick,868,26
Newfoundland and Labrador,791,25
Newfoundland,32,1
Northwest Territories including Nunavut,1,1
Northwest Territories,289,16
Nova Scotia,879,26
Nunavut,288,16
Ontario,1174,27
"Oshawa, Ontario",1,1
"Ottawa - Gatineau (Ontario part), Ontario",1,1
"Ottawa-Gatineau, Ontario/Quebec",24,2
"Ottawa - Gatineau (Quebec part), Quebec",1,1
Outside Canada,1,1
"Peterborough, Ontario",1,1
Prairie provinces,24,2
Prairie Region,1,1
Prairies,80,1
Prince Edward Island,812,25
Quebec,1166,27
"Québec, Quebec",25,3
"Regina, Saskatchewan",1,1
"Saguenay, Quebec",1,1
"Saint John, New Brunswick",1,1
Saskatchewan,867,26
"Saskatoon, Saskatchewan",1,1
"Sherbrooke, Quebec",1,1
"St. Catharines - Niagara, Ontario",1,1
"St. John's, Newfoundland and Labrador",1,1
"Thunder Bay, Ontario",1,1
"Toronto, Ontario",25,3
"Total, large urban population centres",6,1
"Trois-Rivières, Quebec",1,1
"Vancouver, British Columbia",25,3
"Victoria, British Columbia",1,1
"Windsor, Ontario",1,1
"Winnipeg, Manitoba",25,3
"Yukon, Northwest Territories and Nunavut",6,2
Yukon,292,16
