Value,Disaggregation combinations using this value,Number of indicators
10.0,2,1
11.0,2,1
12.0,2,1
13.0,2,1
24.0,3,1
35.0,1,1
46.0,2,1
47.0,2,1
48.0,2,1
59.0,2,1
60.0,2,1
61.0,2,1
62.0,1,1
"Abbotsford - Mission, British Columbia",3,1
Alberta,1152,42
Assiniboine-Red drainage region,1,1
Atlantic Canada,1,1
Atlantic Ocean,21,1
Atlantic provinces,144,3
Atlantic Region,6,3
Atlantic,80,1
"Barrie, ON",1,1
"Barrie, Ontario",3,1
"Brantford, Ontario",3,1
British Columbia and Territories Region,4,1
British Columbia,1237,44
"Calgary, AB",1,1
"Calgary, Alberta",27,3
Canada,1219,27
"Charlottetown, PE",1,1
Churchill drainage region,1,1
Columbia drainage region,1,1
"Edmonton, AB",1,1
"Edmonton, Alberta",27,3
Fraser-Lower Mainland drainage region,1,1
"Fredericton, NB",1,1
"Gatineau, QC",1,1
Great Lakes and St. Lawrence River,21,1
Great Lakes drainage region,1,1
"Greater Sudbury, Ontario",3,1
"Guelph, Ontario",3,1
"Halifax, Nova Scotia",3,1
"Halifax, NS",1,1
"Hamilton, ON",1,1
"Hamilton, Ontario",3,1
Hudson Bay,21,1
"Kelowna, British Columbia",3,1
"Kingston, Ontario",3,1
"Kitchener - Cambridge - Waterloo, Ontario",3,1
"Kitchener, ON",1,1
"London, ON",1,1
"London, Ontario",3,1
Lower Mackenzie drainage region,1,1
Lower Saskatchewan-Nelson drainage region,1,1
Mackenzie River,21,1
Manitoba,1135,42
Maritime Coastal drainage region,1,1
"Moncton, New Brunswick",3,1
"Montreal, QC",1,1
"Montreal, Quebec",3,1
"Montréal, Quebec",24,2
New Brunswick,1103,41
Newfoundland and Labrador,1045,40
Newfoundland-Labrador drainage region,1,1
Newfoundland,32,1
North Saskatchewan drainage region,1,1
North Shore-Gaspé drainage region,1,1
Northern Ontario drainage region,1,1
Northern Quebec drainage region,1,1
Northern Territories,1,1
Northwest Territories and Nunavut,1,1
Northwest Territories including Nunavut,4,4
Northwest Territories,464,29
Nova Scotia,1118,42
Nunavut,458,29
Okanagan-Similkameen drainage region,1,1
Ontario Region,4,1
Ontario,1237,43
"Oshawa, ON",1,1
"Oshawa, Ontario",3,1
Ottawa drainage region,1,1
"Ottawa - Gatineau (Ontario part), Ontario",3,1
"Ottawa-Gatineau, Ontario/Quebec",24,2
"Ottawa - Gatineau (Quebec part), Quebec",3,1
"Ottawa, ON",1,1
Outside Canada,2,2
Pacific Coastal drainage region,1,1
Pacific Ocean,24,1
Peace-Athabasca drainage region,1,1
"Peterborough, Ontario",3,1
Prairie provinces,144,3
Prairie Region,2,2
Prairies and northern Ontario,1,1
Prairies Region,4,1
Prairies,80,1
Prince Edward Island,1074,40
"Quebec, QC",1,1
"Quebec, Quebec",3,1
Quebec Region,4,1
Quebec,1225,43
"Québec, Quebec",24,2
"Regina, Saskatchewan",3,1
"Regina, SK",1,1
"Saguenay, Quebec",3,1
"Saint John, New Brunswick",3,1
Saint John-St. Croix drainage region,1,1
Saskatchewan,1144,42
"Saskatoon, Saskatchewan",3,1
"Saskatoon, SK",1,1
"Sherbrooke, Quebec",3,1
South Saskatchewan drainage region,1,1
Southern Ontario,1,1
Southern Quebec,1,1
"St. Catharines - Niagara Falls, ON",1,1
"St. Catharines - Niagara, Ontario",3,1
"St. John's, Newfoundland and Labrador",3,1
"St. John's, NL",1,1
St. Lawrence drainage region,1,1
"Thunder Bay, Ontario",3,1
"Toronto, ON",1,1
"Toronto, Ontario",27,3
Total drainage regions,1,1
"Total, large urban population centres",6,1
"Total, Organisation for Economic Co-operation and Development (OECD)",1,1
"Trois-Rivières, Quebec",3,1
"Vancouver, BC",1,1
"Vancouver, British Columbia",27,3
"Victoria, BC",1,1
"Victoria, British Columbia",3,1
"Whitehorse, YT",1,1
"Windsor, ON",1,1
"Windsor, Ontario",3,1
Winnipeg drainage region,1,1
"Winnipeg, Manitoba",27,3
"Winnipeg, MB",1,1
"Yellowknife, NT",1,1
Yukon and Northwest Territories,4,1
Yukon drainage region,1,1
"Yukon, Northwest Territories and Nunavut",3,1
Yukon,445,30
