Year,Value,Units
2015,3.5,"Mortality rate per 1,000 live births"
2016,3.4,"Mortality rate per 1,000 live births"
2017,3.5,"Mortality rate per 1,000 live births"
2018,3.6,"Mortality rate per 1,000 live births"
2019,3.4,"Mortality rate per 1,000 live births"
2020,3.5,"Mortality rate per 1,000 live births"
2021,3.3,"Mortality rate per 1,000 live births"
2022,3.5,"Mortality rate per 1,000 live births"
2015,1353.0,Number of deaths
2016,1291.0,Number of deaths
2017,1323.0,Number of deaths
2018,1333.0,Number of deaths
2019,1257.0,Number of deaths
2020,1241.0,Number of deaths
2021,1230.0,Number of deaths
2022,1237.0,Number of deaths
