Year,Value,Units,Series
2020,4.0,Percent,
2015,1.0,Percent,
2020,57.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,18.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2016/18 (baseline),806938.0,Square kilometers,Étendue des millieux humides
2016/18 (baseline),8.17,Percent,Étendue des millieux humides
2017/19,17.0,Nombre,"Qualité de l’eau du lac, la turbidité"
2017/19,11.0,Percent,"Qualité de l’eau du lac, la turbidité"
2017/19,61.0,Nombre,"Qualité de l’eau du lac, l'état trophique"
2017/19,39.0,Percent,"Qualité de l’eau du lac, l'état trophique"
2017/19,13.0,Nombre,"Qualité de l’eau du lac, l'état trophique et la turbidité"
2017/19,8.0,Percent,"Qualité de l’eau du lac, l'état trophique et la turbidité"
2017/19,66.0,Nombre,"Qualité de l’eau du lac, état nul ou amélioration"
2017/19,42.0,Percent,"Qualité de l’eau du lac, état nul ou amélioration"
