Year,Value,Units,Series
2016,98.6,Pourcentage (%),Évolution à long terme (LTE)
2017,99.1,Pourcentage (%),Évolution à long terme (LTE)
2018,99.3,Pourcentage (%),Évolution à long terme (LTE)
2019,99.5,Pourcentage (%),Évolution à long terme (LTE)
2020,99.5,Pourcentage (%),Évolution à long terme (LTE)
2021,99.4,Pourcentage (%),Évolution à long terme (LTE)
2022,99.5,Pourcentage (%),Évolution à long terme (LTE)
2023,99.5,Pourcentage (%),Évolution à long terme (LTE)
2024,99.5,Pourcentage (%),Évolution à long terme (LTE)
2016,83.4,Pourcentage (%),Évolution à long terme - A (LTE-A)
2017,92.4,Pourcentage (%),Évolution à long terme - A (LTE-A)
2018,94.9,Pourcentage (%),Évolution à long terme - A (LTE-A)
2019,95.9,Pourcentage (%),Évolution à long terme - A (LTE-A)
2020,97.5,Pourcentage (%),Évolution à long terme - A (LTE-A)
2021,97.8,Pourcentage (%),Évolution à long terme - A (LTE-A)
2022,97.8,Pourcentage (%),Évolution à long terme - A (LTE-A)
2023,97.9,Pourcentage (%),Évolution à long terme - A (LTE-A)
2024,98.0,Pourcentage (%),Évolution à long terme - A (LTE-A)
2020,53.3,Pourcentage (%),5G
2021,87.8,Pourcentage (%),5G
2022,91.4,Pourcentage (%),5G
2023,93.3,Pourcentage (%),5G
2024,94.3,Pourcentage (%),5G
2016,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2017,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2018,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2019,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2020,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2021,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2022,99.6,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2023,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
2024,99.5,Pourcentage (%),Accès haute vitesse évolué par paquets (HSPA+)
